139	0002	"220 Receptable - Nema L14-20, Turn Lock Panel Mount"	McMaster	7164K81	39.44	1	"139-0002 220 Receptable - Nema L14-20, Turn Lock Panel Mount"
139	0003	Plastic Cable Management Rack	*	*	*	*	139-0003 Plastic Cable Management Rack
139	0004	Aviation Plug - Female - 2 Pin	*	*	*	*	139-0004 Aviation Plug - Female - 2 Pin
139	0005	"DIN Rail, 35mm"	*	*	*	*	"139-0005 DIN Rail, 35mm"
140	0001	Mitee bite Vise Fixed	*	*	*	*	140-0001 Mitee bite Vise Fixed
140	0002	Mitee bite Vise Adj	*	*	*	*	140-0002 Mitee bite Vise Adj
190	0001	Dewalt Router DWP611	*	*	*	*	190-0001 -  Dewalt Router DWP611
210	0001-01	Spindle Extension Plate - WaughBot Assy	*	*	*	*	210-0001-01A Spindle Extension Plate - WaughBot Assy
210	0002-01A	X Linear Rail Support Plate - SoftJaw CNC Assy	*	*	*	*	210-0002-01A X Linear Rail Support Plate - SoftJaw CNC Assy
210	0003-01A	X Linear Shuttle Adapter Plate - SoftJaw CNC Assy	*	*	*	*	210-0003-01A X Linear Shuttle Adapter Plate - SoftJaw CNC Assy
210	0004-01A	Tormach Fixture Center Adapter Plate - SoftJaw CNC Assy	*	*	*	*	210-0004-01A Tormach Tooling Plate  Center Adapter - SoftJaw CNC Assy
210	0005-01A	Tormach Fixture Side Adapter Plate - SoftJaw CNC Assy	*	*	*	*	210-0005-01A Tormach Fixture Side Adapter Plate - SoftJaw CNC Assy
210	0006-01A	X Rail Spacer - SJ Bot Assy	*	*	*	*	210-0006-01A X Rail Spacer - SJ Bot Assy
210	0007-01A	250mm Rail Spacer - Softjaw CNC	*	*	*	*	210-0007-01A 250mm Rail Spacer - Softjaw CNC
210	0008-01A	Back Plate - CNC Electronics Enclosure	*	*	*	*	210-0008-01A Back Plate - CNC Electronics Enclosure
210	0009-01A	IO Plate - CNC Electronics Assy	*	*	*	*	210-0009-01A IO Plate - CNC Electronics Assy
210	0010-01A	Y Axis Base Plate - SoftJaw CNC 	*	*	*	*	210-0010-01A Y Axis Base Plate - SoftJaw CNC 
211	0001-01	Bici Blackjack - For Diego	*	*	*	*	211-0001-01A Bici BlackJack - For Diego
213	0002-01	Pan Scrapper	*	*	*	*	213-0002-01 Pan Scrapper
213	0003-01	Noni Ice Cube	*	*	*	*	213-0003-01A Noni Ice Cube
214	0001-01	Power Supply Cable Through Guide - Prusa Lack Table Enclosure	*	*	*	*	214-0001-01A - Power Supply Cable Through Guide - Prusa Lack Table Enclosure
214	0002-01	Gate - Printed Carabiner	*	*	*	*	214-0002-01A Gate - Printed Carabiner
214	0002-02	Spine - Printed Carabiner	*	*	*	*	214-0002-02A Spine - Printed Carabiner
214	0003-01	Screw Tray	*	*	*	*	214-0003-01A Screw Tray
214	0004-01A	Limit Switch Holder	*	*	*	*	214-0004-01A Limit Switch Holder
214	0005-01A	Link - Cable Chain	*	*	*	*	214-0005-01A Link - Cable Chain
214	0005-02A	Fixed Bracket - Cable Chain	*	*	*	*	214-0005-02A Fixed Bracket - Cable Chain
214	0005-03A	Floating Bracket - Cable Chain	*	*	*	*	214-0005-03A Floating Bracket - Cable Chain
214	0006-01A	MK3S Fan Shroud	*	*	*	*	214-0006-01A MK3S Fan Shroud
